id,budget,revenue,runtime
1022789,200000000,0,97
653346,160000000,359772773,145
573435,100000000,130151244,115
1001311,0,0,104
823464,150000000,567156493,115
955555,0,83410298,105
929590,50000000,114097977,109
626412,0,9800000,122
150540,175000000,857611174,95
974635,8800000,1139025,116
719221,8000000,45313000,92
614933,100,0,120
746036,125000000,166627315,126
38700,90000000,426505244,124
1025463,0,0,110
1011985,80000000,539271347,94
786892,168000000,144409000,149
1263421,0,0,60
1136318,0,0,80
437342,30000000,53689531,119
